Store Number,Average Deliveries Per Week,Average Deliveries Per Month,FY 15 OOS Rate,Average Cases Delivered Per Week,Store Type,Total Footage,A-B Region,Delivery Schedule
1038,1,6,3.06%,583,BASE STR SUPERCENTER,81.04166603,4,Tu
1039,2,9,2.54%,430,BASE STR SUPERCENTER,48,2,Tu
1040,3,13,3.14%,522,BASE STR SUPERCENTER,60,5,We
1041,2,9,2.41%,660,BASE STR SUPERCENTER,40,5,TuFr
1042,2,9,6.36%,441,BASE STR SUPERCENTER,60,5,MoTh
1043,2,9,1.96%,277,BASE STR SUPERCENTER,24,5,MoTh
1044,2,9,5.06%,537,BASE STR SUPERCENTER,56,5,TuFr
1045,1,4,6.26%,66,BASE STR SUPERCENTER,16,6,Th
1047,2,8,4.57%,199,BASE STR SUPERCENTER,40.91666603,2,MoFr
1052,2,9,8.03%,421,BASE STR SUPERCENTER,52,2,TuFr
1053,2,9,3.40%,349,BASE STR SUPERCENTER,40.91666603,3,MoTh
1054,2,9,2.60%,130,BASE STR SUPERCENTER,24,4,TuFr
1055,2,8,5.48%,378,BASE STR SUPERCENTER,40.91666603,5,WeFr
1056,2,9,23.63%,395,BASE STR SUPERCENTER,24,5,TuFr
1057,1,6,1.01%,227,BASE STR SUPERCENTER,36,2,Th
1058,2,8,1.37%,62,BASE STR SUPERCENTER,28,6,Fr
1059,2,9,1.75%,321,BASE STR SUPERCENTER,32,2,TuFr
1060,2,9,5.56%,391,BASE STR SUPERCENTER,72,2,TuFr
1061,2,9,3.36%,215,BASE STR SUPERCENTER,24,2,MoFr
1062,2,10,3.65%,385,BASE STR SUPERCENTER,60.16666603,5,WeSa
1064,2,9,1.58%,416,BASE STR SUPERCENTER,40,2,TuFr
1066,3,13,3.60%,628,BASE STR SUPERCENTER,80.91666603,2,MoWe
1068,3,13,2.72%,817,BASE STR SUPERCENTER,56,2,Sa
1069,2,9,3.19%,244,BASE STR SUPERCENTER,24,2,TuFr
1070,2,8,2.36%,390,BASE STR SUPERCENTER,68.91666603,2,Fr
1071,2,9,2.93%,528,BASE STR SUPERCENTER,56,3,TuFr
1072,2,10,2.40%,437,BASE STR SUPERCENTER,72.91666603,2,WeFr
1073,2,10,1.37%,303,BASE STR SUPERCENTER,24,5,TuTh
1074,3,14,2.93%,330,BASE STR SUPERCENTER,40,2,MoThFr
1075,2,9,3.96%,538,BASE STR SUPERCENTER,40,2,TuFr
1076,2,9,5.37%,189,BASE STR SUPERCENTER,48,2,TuFr
1077,3,13,6.61%,389,BASE STR SUPERCENTER,40,2,Sa
1079,3,13,2.55%,718,BASE STR SUPERCENTER,36,2,TuFrSa
1080,2,9,2.47%,244,BASE STR SUPERCENTER,44,2,TuFr
1082,2,9,3.98%,363,BASE STR SUPERCENTER,40,2,WeSa
1083,3,13,6.76%,535,BASE STR SUPERCENTER,48,2,Sa
1085,3,13,4.13%,570,BASE STR SUPERCENTER,40.91666603,2,TuSa
1086,3,13,2.99%,523,BASE STR SUPERCENTER,32,2,TuThSa
1087,3,13,1.45%,676,BASE STR SUPERCENTER,40,2,TuSa
1088,3,14,2.27%,584,BASE STR SUPERCENTER,48,2,MoFr
1089,2,9,2.17%,215,BASE STR SUPERCENTER,56,2,MoTh
1090,3,13,3.36%,417,BASE STR SUPERCENTER,137.041666,2,Sa
1091,2,10,2.91%,271,BASE STR SUPERCENTER,40,2,TuTh
1093,2,9,2.68%,361,BASE STR SUPERCENTER,48,3,TuTh
1094,2,10,6.90%,305,BASE STR SUPERCENTER,40,4,MoTh
1096,2,9,1.60%,428,BASE STR SUPERCENTER,32,2,MoTh
1097,2,9,2.51%,446,BASE STR SUPERCENTER,72,2,TuFr
1098,2,9,2.03%,507,BASE STR SUPERCENTER,94,5,TuFr
1099,2,8,6.09%,124,BASE STR SUPERCENTER,40,4,Tu
1100,1,5,1.88%,225,BASE STR SUPERCENTER,52,2,Tu
1101,2,9,3.72%,591,BASE STR SUPERCENTER,68.91666603,2,TuFr
1102,2,9,5.02%,229,BASE STR SUPERCENTER,68.91666603,5,Tu
1103,3,11,3.51%,434,BASE STR SUPERCENTER,60,5,Fr
1104,3,13,3.66%,696,BASE STR SUPERCENTER,80,2,Sa
1105,2,9,7.49%,484,BASE STR SUPERCENTER,40,5,TuFr
1106,2,9,1.51%,245,BASE STR SUPERCENTER,32,5,TuFr
1107,2,9,3.48%,245,BASE STR SUPERCENTER,24,5,TuFr
1109,2,9,2.24%,204,BASE STR SUPERCENTER,24,5,TuFr
1110,2,9,5.45%,227,BASE STR SUPERCENTER,24,5,TuFr
1111,2,9,3.58%,435,BASE STR SUPERCENTER,60,2,Mo
1112,2,9,2.01%,485,BASE STR SUPERCENTER,40.91666603,2,TuFr
1115,2,9,7.25%,164,BASE STR SUPERCENTER,24,2,TuFr
1116,2,9,2.31%,345,BASE STR SUPERCENTER,43.25,5,MoFr
1117,2,8,2.71%,328,BASE STR SUPERCENTER,112,5,TuFr
1118,2,9,6.82%,760,BASE STR SUPERCENTER,64,5,TuFr
1120,2,9,3.38%,435,BASE STR SUPERCENTER,44,4,MoFr
1121,2,8,3.99%,312,BASE STR SUPERCENTER,72,2,TuFr
1122,2,9,2.23%,247,BASE STR SUPERCENTER,36,2,MoTh
1123,2,9,1.08%,549,BASE STR SUPERCENTER,40.91666603,2,MoTh
1125,2,9,2.48%,535,BASE STR SUPERCENTER,36,3,MoTh
1126,2,9,2.48%,346,BASE STR SUPERCENTER,72.91666603,5,TuFr
1127,1,6,1.37%,281,BASE STR SUPERCENTER,32,2,We
1128,2,9,1.41%,515,BASE STR SUPERCENTER,52,5,TuFr
1129,2,8,1.89%,271,BASE STR SUPERCENTER,51.33333397,5,TuTh
1130,4,16,6.35%,499,BASE STR SUPERCENTER,52.125,2,MoFr
1131,2,9,1.46%,232,BASE STR SUPERCENTER,28,2,Tu
1132,2,9,4.75%,760,BASE STR SUPERCENTER,56.91666603,2,MoTh
1133,2,9,0.81%,488,BASE STR SUPERCENTER,40,2,MoTh
1134,3,15,3.73%,737,BASE STR SUPERCENTER,44,2,MoTh
1135,2,10,10.00%,806,BASE STR SUPERCENTER,48,2,TuTh
1136,2,9,2.83%,373,BASE STR SUPERCENTER,56,5,MoTh
1137,2,8,4.44%,596,BASE STR SUPERCENTER,75.375,5,TuTh
1139,4,17,3.67%,1318,BASE STR SUPERCENTER,64.91666603,3,TuFr
1140,2,9,3.99%,626,BASE STR SUPERCENTER,56,3,MoTh
1141,2,9,2.62%,491,BASE STR SUPERCENTER,44,3,MoTh
1143,2,8,3.16%,194,BASE STR SUPERCENTER,40,2,Tu
1144,2,10,2.05%,481,BASE STR SUPERCENTER,24,2,MoTh
1146,2,9,0.42%,829,BASE STR SUPERCENTER,76,2,TuFr
1147,2,9,1.17%,341,BASE STR SUPERCENTER,44,5,TuFr
1148,3,15,8.15%,540,BASE STR SUPERCENTER,52.91666603,5,MoTuTh
1149,3,14,1.62%,821,BASE STR SUPERCENTER,76,7,MoFr
1150,2,11,2.81%,482,BASE STR SUPERCENTER,56,5,MoTh
1151,2,9,0.99%,168,BASE STR SUPERCENTER,38.66666794,4,MoFr
1152,2,9,2.48%,259,BASE STR SUPERCENTER,24,4,TuFr
1153,2,8,2.16%,138,BASE STR SUPERCENTER,40.91666603,2,Tu
1154,2,9,2.81%,337,BASE STR SUPERCENTER,60,5,TuFr
1155,1,6,3.41%,395,BASE STR SUPERCENTER,44.91666603,2,Fr
1156,2,9,1.55%,711,BASE STR SUPERCENTER,40.91666603,2,MoTh
1157,2,9,6.19%,527,BASE STR SUPERCENTER,36,3,MoFr
1158,2,9,5.91%,415,BASE STR SUPERCENTER,76.91666603,2,MoTh
1160,3,12,1.60%,684,BASE STR SUPERCENTER,60,3,Fr
1161,3,13,3.15%,416,BASE STR SUPERCENTER,80,4,TuFr
1162,2,9,7.62%,447,BASE STR SUPERCENTER,32,3,MoFr
1163,2,9,2.20%,319,BASE STR SUPERCENTER,44,5,TuFr
1164,2,9,4.54%,358,BASE STR SUPERCENTER,52,2,TuTh
1165,2,9,3.30%,320,BASE STR SUPERCENTER,80.91666603,3,Fr
1167,2,9,3.63%,240,BASE STR SUPERCENTER,60,3,TuFr
1168,2,9,4.87%,252,BASE STR SUPERCENTER,68.91666603,2,TuFr
1169,2,9,5.24%,244,BASE STR SUPERCENTER,24,5,TuFr
1170,2,9,3.18%,216,BASE STR SUPERCENTER,52,3,Fr
1171,3,14,1.57%,570,BASE STR SUPERCENTER,48,2,TuThSa
1172,3,13,4.19%,521,BASE STR SUPERCENTER,121.041666,2,Sa
1173,3,13,4.00%,425,BASE STR SUPERCENTER,56,2,Sa
1174,2,10,5.04%,395,BASE STR SUPERCENTER,48,2,Mo
1177,2,10,3.79%,563,BASE STR SUPERCENTER,70.66666794,4,TuFr
1178,2,9,3.34%,359,BASE STR SUPERCENTER,60.91666603,5,Tu
1179,4,15,0.89%,386,BASE STR SUPERCENTER,56,2,MoFr
1180,2,9,7.62%,548,BASE STR SUPERCENTER,24,3,MoFr
1181,2,9,3.06%,150,BASE STR SUPERCENTER,32,2,TuFr
1182,4,17,1.19%,833,BASE STR SUPERCENTER,48,2,Sa
1183,2,9,5.02%,710,BASE STR SUPERCENTER,60.91666603,2,TuFr
1184,2,8,4.66%,177,BASE STR SUPERCENTER,68,2,MoTh
1185,2,9,4.62%,481,BASE STR SUPERCENTER,60.91666603,5,TuFr
1186,2,9,3.13%,630,BASE STR SUPERCENTER,76,5,TuFr
1187,2,9,4.45%,194,BASE STR SUPERCENTER,24,4,TuFr
1188,3,12,4.37%,420,BASE STR SUPERCENTER,48,4,Th
1191,2,9,5.32%,335,BASE STR SUPERCENTER,56.91666603,2,MoTh
1192,2,9,1.04%,281,BASE STR SUPERCENTER,24,2,MoTh
1193,2,9,3.52%,249,BASE STR SUPERCENTER,72,5,TuFr
1194,2,9,0.87%,298,BASE STR SUPERCENTER,64.91666603,2,Mo
1195,2,11,7.35%,721,BASE STR SUPERCENTER,56,2,MoTh
1196,2,9,4.18%,312,BASE STR SUPERCENTER,32,5,TuFr
1197,2,9,4.64%,469,BASE STR SUPERCENTER,40.91666603,2,TuFr
1198,2,11,3.54%,288,BASE STR SUPERCENTER,72.91666603,5,TuFr
1199,1,5,5.69%,45,BASE STR SUPERCENTER,24,6,We
1200,1,5,3.16%,90,BASE STR SUPERCENTER,28,6,Tu
1201,3,13,0.70%,506,BASE STR SUPERCENTER,76.91666603,2,Fr
1202,3,3,4.21%,360,BASE STR SUPERCENTER,40.91666603,3,TuThFr
1203,3,13,2.59%,655,BASE STR SUPERCENTER,68,2,Mo
1204,2,9,1.42%,329,BASE STR SUPERCENTER,60.91666603,5,TuFr
1205,3,14,5.44%,566,BASE STR SUPERCENTER,77.04166603,2,TuThSa
1206,2,9,2.47%,339,BASE STR SUPERCENTER,68,5,TuFr
1207,5,20,3.01%,685,BASE STR SUPERCENTER,40,2,MoTuFr
1209,2,8,3.37%,491,BASE STR SUPERCENTER,56,2,We
1210,2,9,2.36%,356,BASE STR SUPERCENTER,40,3,TuFr
1211,1,5,4.31%,161,BASE STR SUPERCENTER,24,3,We
1212,2,9,2.46%,467,BASE STR SUPERCENTER,72,2,MoTh
1213,3,13,3.93%,617,BASE STR SUPERCENTER,48,2,MoSa
1214,1,6,4.03%,85,BASE STR SUPERCENTER,24,4,Mo
1215,2,9,1.60%,293,BASE STR SUPERCENTER,32,2,Fr
1216,2,9,2.50%,395,BASE STR SUPERCENTER,72,5,MoTh
1217,5,21,1.59%,423,BASE STR SUPERCENTER,60.125,2,MoTuFr
1218,2,9,5.09%,862,BASE STR SUPERCENTER,68,7,TuFr
1219,3,13,2.84%,347,BASE STR SUPERCENTER,40.91666603,2,Sa
1220,2,9,3.81%,410,BASE STR SUPERCENTER,40.91666603,2,TuFr
1221,2,8,2.32%,156,BASE STR SUPERCENTER,56,4,Tu
1222,4,17,3.41%,781,BASE STR SUPERCENTER,64.91666603,2,MoFr
1223,3,13,1.32%,485,BASE STR SUPERCENTER,60.91666603,2,Sa
1224,2,9,1.57%,524,BASE STR SUPERCENTER,136.25,2,TuFr
1225,3,13,6.00%,395,BASE STR SUPERCENTER,121.041666,2,Sa
1226,2,9,3.97%,316,BASE STR SUPERCENTER,60,2,TuFr
1227,3,11,3.04%,398,BASE STR SUPERCENTER,40,2,Th
1228,2,9,3.73%,379,BASE STR SUPERCENTER,70.66666794,3,Mo
1229,3,13,1.42%,333,BASE STR SUPERCENTER,48,2,WeFr
1230,2,9,8.23%,828,BASE STR SUPERCENTER,68.91666603,7,TuFr
1231,1,5,3.36%,48,BASE STR SUPERCENTER,12,6,Fr
1232,2,9,5.28%,507,BASE STR SUPERCENTER,40.91666603,5,TuFr
1233,3,13,4.01%,303,BASE STR SUPERCENTER,40,3,Mo
1235,2,9,1.95%,374,BASE STR SUPERCENTER,40,5,TuFr
1236,3,11,1.45%,566,BASE STR SUPERCENTER,40,2,TuFr
1237,2,9,4.11%,491,BASE STR SUPERCENTER,40.91666603,2,WeFr
1238,2,9,2.83%,445,BASE STR SUPERCENTER,56,2,TuFr
1239,2,9,7.32%,233,BASE STR SUPERCENTER,32,3,MoTh
1240,2,10,6.13%,730,BASE STR SUPERCENTER,56,7,TuFr
1241,2,9,3.51%,413,BASE STR SUPERCENTER,88,4,TuFr
1242,2,9,2.49%,454,BASE STR SUPERCENTER,44.91666603,2,TuTh
1243,2,10,3.21%,267,BASE STR SUPERCENTER,40,1,MoTh
1244,2,9,4.84%,292,BASE STR SUPERCENTER,56,2,TuFr
1245,3,15,5.07%,779,BASE STR SUPERCENTER,156.375,2,TuThSa
1247,4,17,8.98%,490,BASE STR SUPERCENTER,64,3,Tu
1248,2,9,2.84%,153,BASE STR SUPERCENTER,40.91666603,2,TuFr
1249,2,10,0.79%,566,BASE STR SUPERCENTER,76,5,MoTh
1252,1,5,1.91%,58,BASE STR SUPERCENTER,8,6,We
1253,2,10,1.75%,468,BASE STR SUPERCENTER,68,5,TuFr
1255,2,9,8.45%,385,BASE STR SUPERCENTER,84.91666603,2,TuTh
1256,2,8,3.68%,395,BASE STR SUPERCENTER,28,3,Mo
1261,2,9,3.47%,416,BASE STR SUPERCENTER,56,2,TuTh
1264,2,9,7.16%,318,BASE STR SUPERCENTER,40.91666603,3,TuFr
1265,2,9,4.71%,171,BASE STR SUPERCENTER,56,4,TuFr
1266,2,10,5.37%,288,BASE STR SUPERCENTER,92,5,MoTh
1267,2,8,5.01%,95,BASE STR SUPERCENTER,45.16666794,3,MoWe
1268,2,9,4.56%,336,BASE STR SUPERCENTER,84.91666603,2,MoTh
1269,2,8,2.11%,131,BASE STR SUPERCENTER,36,3,TuFr
1270,2,10,4.57%,668,BASE STR SUPERCENTER,52,2,TuFr
1271,2,9,14.05%,271,BASE STR SUPERCENTER,40,2,TuFr
1272,2,9,3.69%,269,BASE STR SUPERCENTER,60,5,MoTh
1273,1,5,2.94%,143,BASE STR SUPERCENTER,24,6,We
1274,2,9,2.45%,245,BASE STR SUPERCENTER,60,3,MoTh
1275,2,8,2.08%,287,BASE STR SUPERCENTER,28.125,3,Mo
1276,2,9,1.53%,187,BASE STR SUPERCENTER,40,3,TuFr
1277,2,9,14.57%,264,BASE STR SUPERCENTER,24,3,TuFr
1279,3,11,0.89%,725,BASE STR SUPERCENTER,60.91666603,5,Fr
1280,2,8,4.39%,84,BASE STR SUPERCENTER,24,6,Fr
1281,3,11,4.03%,770,BASE STR SUPERCENTER,56,2,MoTh
1282,2,9,3.55%,94,BASE STR SUPERCENTER,24,4,TuFr
1283,2,9,5.46%,553,BASE STR SUPERCENTER,60,2,WeFr
1284,2,9,3.36%,469,BASE STR SUPERCENTER,72,2,TuFr
1285,2,9,3.57%,437,BASE STR SUPERCENTER,60.91666603,4,MoTh
1286,2,9,1.56%,613,BASE STR SUPERCENTER,72,2,MoTh
1287,2,8,3.31%,513,BASE STR SUPERCENTER,56.91666603,2,TuFr
1288,2,10,2.40%,582,BASE STR SUPERCENTER,24,2,TuTh
1289,1,5,4.45%,181,BASE STR SUPERCENTER,60.91666603,3,Fr
1290,2,9,4.95%,415,BASE STR SUPERCENTER,40,2,MoTh
1292,3,13,1.96%,458,BASE STR SUPERCENTER,80.125,1,WeFr
1293,2,10,5.09%,414,BASE STR SUPERCENTER,40,2,TuFr
1294,2,7,9.85%,261,BASE STR SUPERCENTER,60,3,Th
1295,2,9,4.45%,373,BASE STR SUPERCENTER,24,5,TuFr
1296,2,9,3.15%,510,BASE STR SUPERCENTER,72,5,TuFr
1297,5,21,2.18%,642,BASE STR SUPERCENTER,92.58333397,2,Sa
1298,2,9,2.18%,749,BASE STR SUPERCENTER,80.91666603,2,TuFr
1299,3,11,3.26%,596,BASE STR SUPERCENTER,72,7,MoFr
1300,2,10,1.83%,493,BASE STR SUPERCENTER,72,2,TuFr
1301,3,13,1.89%,318,BASE STR SUPERCENTER,68,1,WeFr
1302,2,9,2.49%,256,BASE STR SUPERCENTER,40,1,TuFr
1303,2,8,1.72%,487,BASE STR SUPERCENTER,52,5,Mo
1304,2,9,3.40%,559,BASE STR SUPERCENTER,56,3,MoTh
1305,1,5,4.69%,168,BASE STR SUPERCENTER,73.04166603,3,Tu
1306,2,9,5.49%,788,BASE STR SUPERCENTER,60.91666603,5,TuFr
1307,2,9,6.29%,565,BASE STR SUPERCENTER,40,3,MoFr
1308,1,5,1.85%,68,BASE STR SUPERCENTER,24,6,TuWe
1309,2,9,1.77%,335,BASE STR SUPERCENTER,40,1,TuFr
1310,2,10,2.55%,542,BASE STR SUPERCENTER,80.125,3,MoTh
1311,2,9,2.66%,347,BASE STR SUPERCENTER,40,2,MoTh
1312,2,9,3.19%,491,BASE STR SUPERCENTER,84.91666603,2,TuFr
1313,2,9,6.19%,711,BASE STR SUPERCENTER,84,5,TuFr
1314,2,8,1.49%,245,BASE STR SUPERCENTER,60.91666603,2,MoTh
1316,2,10,3.63%,270,BASE STR SUPERCENTER,56,3,TuFr
1317,4,16,4.06%,371,BASE STR SUPERCENTER,72,2,MoTuWeFr
1318,2,9,2.59%,286,BASE STR SUPERCENTER,48,2,TuFr
1319,2,9,3.73%,242,BASE STR SUPERCENTER,40,2,Mo
1320,2,9,1.89%,266,BASE STR SUPERCENTER,56,2,TuFr
1321,2,9,2.64%,569,BASE STR SUPERCENTER,40,2,TuTh
1322,2,9,3.56%,677,BASE STR SUPERCENTER,76,2,TuFr
1324,2,9,4.44%,739,BASE STR SUPERCENTER,60.91666603,7,TuFr
1326,2,9,3.56%,903,BASE STR SUPERCENTER,76,4,WeFr
1327,2,9,1.27%,695,BASE STR SUPERCENTER,72,3,Fr
1328,2,9,1.46%,497,BASE STR SUPERCENTER,28,7,TuTh
1329,2,10,5.19%,436,BASE STR SUPERCENTER,36.125,3,Fr
1330,2,9,2.34%,297,BASE STR SUPERCENTER,36,3,MoTh
1331,2,9,3.34%,427,BASE STR SUPERCENTER,36.91666603,3,MoTh
1332,2,10,8.71%,517,BASE STR SUPERCENTER,64,4,TuFr
1333,2,9,3.54%,326,BASE STR SUPERCENTER,40,3,MoTh
1335,2,9,3.18%,549,BASE STR SUPERCENTER,40,1,TuFr
1337,2,9,3.42%,431,BASE STR SUPERCENTER,40,2,MoTh
1339,2,9,5.84%,421,BASE STR SUPERCENTER,43.33333397,2,Fr
1340,2,9,2.43%,178,BASE STR SUPERCENTER,56,2,TuFr
1341,4,15,4.07%,931,BASE STR SUPERCENTER,40,3,MoFr
1342,2,9,0.95%,321,BASE STR SUPERCENTER,40.91666603,5,TuTh
1344,2,11,1.41%,440,BASE STR SUPERCENTER,53.5,1,MoTh
1345,3,11,1.83%,371,BASE STR SUPERCENTER,32,1,TuFr
1346,3,13,3.78%,673,BASE STR SUPERCENTER,60.91666603,2,MoWeFr
1347,2,9,2.35%,322,BASE STR SUPERCENTER,60,5,WeFr
1348,2,9,5.05%,636,BASE STR SUPERCENTER,60.91666603,2,TuFr
1350,2,9,2.70%,259,BASE STR SUPERCENTER,40,1,TuFr
1351,2,9,3.86%,190,BASE STR SUPERCENTER,40,3,TuFr
1352,2,9,2.74%,416,BASE STR SUPERCENTER,68,2,TuFr
1353,2,9,1.83%,480,BASE STR SUPERCENTER,40.91666603,5,MoTh
1354,2,9,2.94%,506,BASE STR SUPERCENTER,48.91666603,2,TuFr
1355,3,13,2.98%,761,BASE STR SUPERCENTER,60.91666603,2,Fr
1356,2,8,1.90%,399,BASE STR SUPERCENTER,40,3,MoFr
1357,2,9,2.77%,693,BASE STR SUPERCENTER,72,5,TuTh
1358,2,9,1.07%,1019,BASE STR SUPERCENTER,76,2,Fr
1359,2,9,3.03%,535,BASE STR SUPERCENTER,72.91666603,2,TuFr
1360,2,9,2.17%,198,BASE STR SUPERCENTER,32,3,TuFr
1361,2,10,1.91%,525,BASE STR SUPERCENTER,60.91666603,4,TuFr
1362,5,20,3.79%,1631,BASE STR SUPERCENTER,173.5,2,TuWeFr
1363,2,9,2.60%,317,BASE STR SUPERCENTER,24,2,Tu
1364,2,9,8.28%,812,BASE STR SUPERCENTER,60,7,TuFr
1366,2,9,6.29%,267,BASE STR SUPERCENTER,68,3,WeFr
1367,1,5,1.91%,224,BASE STR SUPERCENTER,60.91666603,2,Th
1369,2,9,2.01%,758,BASE STR SUPERCENTER,48,7,TuFr
1370,3,11,2.59%,1203,BASE STR SUPERCENTER,60.91666603,7,Fr
1371,2,7,1.99%,419,BASE STR SUPERCENTER,40,3,Fr
1372,2,9,4.93%,376,BASE STR SUPERCENTER,60,2,TuFr
1373,2,8,3.50%,230,BASE STR SUPERCENTER,60,2,Th
1375,2,9,6.11%,423,BASE STR SUPERCENTER,60.91666603,2,TuFr
1376,2,9,3.14%,232,BASE STR SUPERCENTER,40,2,MoTh
1377,3,12,2.17%,376,BASE STR SUPERCENTER,56,3,Mo
1378,2,8,2.18%,331,BASE STR SUPERCENTER,36,3,Fr
1379,2,9,0.74%,408,BASE STR SUPERCENTER,56,2,TuFr
1381,2,9,6.06%,874,BASE STR SUPERCENTER,60.91666603,7,WeSa
1382,2,9,8.20%,812,BASE STR SUPERCENTER,72,2,Fr
1383,2,9,8.53%,732,BASE STR SUPERCENTER,68.91666603,2,TuFr
1384,2,9,4.15%,84,BASE STR SUPERCENTER,24,6,TuFr
1385,2,9,2.15%,402,BASE STR SUPERCENTER,72,2,MoTh
1386,2,9,4.80%,651,BASE STR SUPERCENTER,32,3,TuFr
1387,3,13,2.53%,271,BASE STR SUPERCENTER,40.91666603,2,Sa
1388,2,9,2.28%,373,BASE STR SUPERCENTER,36.125,3,TuFr
1389,2,9,2.00%,346,BASE STR SUPERCENTER,56,4,TuFr
1390,3,13,5.32%,559,BASE STR SUPERCENTER,129.8333321,2,TuSa
1391,3,14,4.58%,738,BASE STR SUPERCENTER,72.91666603,2,MoThSa
1392,2,9,1.76%,561,BASE STR SUPERCENTER,80.91666603,2,TuFr
1393,2,9,5.99%,431,BASE STR SUPERCENTER,32,4,MoTh
1394,2,9,4.18%,124,BASE STR SUPERCENTER,48,3,MoTh
1396,2,9,3.91%,371,BASE STR SUPERCENTER,60.91666603,3,MoFr
1397,2,9,8.67%,417,BASE STR SUPERCENTER,40,5,Fr
1398,2,9,3.09%,314,BASE STR SUPERCENTER,48,2,Fr
1399,2,9,3.07%,419,BASE STR SUPERCENTER,52,1,WeFr
1400,2,8,4.06%,335,BASE STR SUPERCENTER,116,2,MoTh
1401,1,6,4.98%,189,BASE STR SUPERCENTER,66.33333588,3,Fr
1403,2,8,5.92%,273,BASE STR SUPERCENTER,36,2,TuFr
1404,2,10,3.25%,265,BASE STR SUPERCENTER,32,3,Fr
1405,2,9,3.10%,538,BASE STR SUPERCENTER,56,5,TuFr
1406,2,9,2.77%,410,BASE STR SUPERCENTER,56,1,TuFr
1407,1,4,5.80%,173,BASE STR SUPERCENTER,40,3,Th
1408,3,13,5.95%,539,BASE STR SUPERCENTER,40,2,Sa
1409,2,10,5.01%,335,BASE STR SUPERCENTER,48,5,MoTh
1410,2,9,3.63%,290,BASE STR SUPERCENTER,40,3,TuFr
1411,2,9,2.11%,737,BASE STR SUPERCENTER,56,7,TuFr
1412,2,7,3.57%,278,BASE STR SUPERCENTER,49.75,6,TuFr
1413,3,12,3.41%,402,BASE STR SUPERCENTER,40,3,Fr
1414,2,9,2.05%,560,BASE STR SUPERCENTER,52,5,Tu
1415,2,9,4.78%,553,BASE STR SUPERCENTER,48,4,TuFr
1416,2,9,3.28%,253,BASE STR SUPERCENTER,60,3,MoTh
1417,2,9,3.63%,370,BASE STR SUPERCENTER,60.91666603,7,MoFr
1418,3,12,2.79%,502,BASE STR SUPERCENTER,60,3,TuTh
1419,2,9,3.62%,342,BASE STR SUPERCENTER,40.125,3,TuFr
1420,2,9,3.66%,314,BASE STR SUPERCENTER,36,3,MoTh
1421,3,13,5.57%,418,BASE STR SUPERCENTER,40.91666603,3,Sa
1422,2,9,3.17%,351,BASE STR SUPERCENTER,52,3,TuFr
1423,2,9,5.01%,343,BASE STR SUPERCENTER,32,3,TuFr
1424,2,9,7.37%,384,BASE STR SUPERCENTER,72,1,TuFr
1425,2,9,4.15%,418,BASE STR SUPERCENTER,40,3,TuFr
1426,3,13,3.16%,547,BASE STR SUPERCENTER,52,3,Fr
1427,4,16,6.11%,252,BASE STR SUPERCENTER,40,3,Tu
1428,2,9,2.78%,453,BASE STR SUPERCENTER,56,3,TuFr
1429,2,9,2.66%,423,BASE STR SUPERCENTER,76,3,Fr
1430,2,9,1.79%,347,BASE STR SUPERCENTER,60.91666603,3,MoFr
1431,2,9,3.51%,316,BASE STR SUPERCENTER,40.91666603,4,MoTh
1432,2,9,2.37%,374,BASE STR SUPERCENTER,52,3,MoTh
1433,2,9,4.89%,472,BASE STR SUPERCENTER,56,3,TuFr
1434,1,4,2.98%,100,BASE STR SUPERCENTER,28,6,Fr
1435,2,9,7.75%,386,BASE STR SUPERCENTER,24,4,TuFr
1436,2,9,1.93%,328,BASE STR SUPERCENTER,48,2,WeFr
1437,2,9,2.12%,233,BASE STR SUPERCENTER,24,5,TuFr
1438,2,9,1.26%,363,BASE STR SUPERCENTER,24,6,MoFr
1439,2,9,1.72%,350,BASE STR SUPERCENTER,40.91666603,6,MoTh
1440,3,12,3.56%,537,BASE STR SUPERCENTER,33.66666698,6,MoFr
1441,2,9,2.22%,177,BASE STR SUPERCENTER,40,3,TuFr
1442,2,9,2.76%,596,BASE STR SUPERCENTER,24,7,TuFr
1443,2,9,4.43%,181,BASE STR SUPERCENTER,40,3,TuTh
1444,3,13,2.55%,361,BASE STR SUPERCENTER,103.458334,2,Sa
1445,2,7,3.59%,459,BASE STR SUPERCENTER,64,3,Fr
1447,2,9,5.12%,354,BASE STR SUPERCENTER,60,3,TuTh
1448,2,9,3.35%,318,BASE STR SUPERCENTER,56,3,TuFr
1449,2,9,2.71%,337,BASE STR SUPERCENTER,48,3,WeFr
1450,3,13,1.62%,176,BASE STR SUPERCENTER,55.375,3,MoWe
1451,2,9,6.03%,233,BASE STR SUPERCENTER,36,3,TuFr
1453,2,9,3.05%,501,BASE STR SUPERCENTER,60,3,TuFr
1454,3,15,4.11%,664,BASE STR SUPERCENTER,40.91666603,3,TuThFr
1455,2,8,1.16%,339,BASE STR SUPERCENTER,40.91666603,5,Fr
1457,1,6,3.95%,233,BASE STR SUPERCENTER,49.75,6,Mo
1458,2,8,3.35%,334,BASE STR SUPERCENTER,56,2,MoTh
1459,2,7,3.87%,253,BASE STR SUPERCENTER,40,3,Th
1460,2,10,1.37%,694,BASE STR SUPERCENTER,60,4,WeFr
1461,2,9,3.75%,346,BASE STR SUPERCENTER,69.75,6,Tu
1462,2,9,5.59%,519,BASE STR SUPERCENTER,60,2,TuFr
